# ============================================================================
# PROBED 2026-07-28. 1,492 of these 1,948 slugs are now registered sources.
#
# Two independently published Breezy HR tenant lists, merged and then probed
# live at https://<slug>.breezy.hr/json under the shared limiter key
# internal/httpx gives *.breezy.hr, four requests in flight at a time:
#
#   1,071 from dtunkelang/job-search slugs/breezy_slugs.txt (rows below are
#         verbatim, including the curator's inline employer names and counts);
#     875 further slugs from kalil0321/ats-scrapers ats-companies/breezy.csv
#         that the first list does not carry, appended in the second block;
#       3 (jha-companies, nordcloudfinland, jobs) recovered from GitHub code
#         search; "jobs" is Breezy's own board at https://jobs.breezy.hr.
#
# Result, measured and not estimated:
#
#   ok     1,492   200 + a JSON array with >=1 position carrying name + https url
#   empty    403   200 + an empty array
#   dead      53   HTTP 302 to https://breezy.hr/
#
# The 1,492 "ok" slugs are registered in internal/services/breezy.go. They
# published 36,008 postings between them at probe time, about 24 per HTTP
# request, and the whole platform costs exactly 1,492 requests because the
# endpoint is unpaginated.
#
# The 403 empty boards are NOT registered. docs/adding-a-source.md is explicit
# that a company not hiring today is not a broken source, but an empty array is
# also not evidence that a board is live, and on this platform there is a
# stronger signal available (see below), so there is no reason to guess.
#
# Verification is unusually unambiguous here, which is worth recording because
# docs/adding-a-source.md warns that several platforms answer 200 with a landing
# page for unknown tenants. Breezy does not. A slug with no board answers
# HTTP 302 to https://breezy.hr/, and that marketing site answers 403 to this
# project's User-Agent, so a dead tenant cannot be mistaken for an empty one.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.breezy.hr/json answers 200 with a JSON array holding at least
# one object that has a non-empty "name" and an "url" beginning "https://" —
# which is precisely the pair internal/services/breezy.go needs to emit a
# posting, so nothing is registered that the adapter would then drop.
#
# Two response-shape claims in docs/research/ats-platform-survey.md did not
# survive the probe, and both are recorded on the adapter rather than by editing
# the rows below: every one of the 1,895 boards that answered 200 used the flat
# array shape (the older {company, positions} object was not seen once), and
# "type" is an object {id, name} rather than a string on every position of every
# board captured. A third, "category", was not present on any position at all.
#
# The employer names and counts on the rows below are the upstream curators',
# dated as annotated. They are recorded as provenance, not endorsed, and the
# rows are left verbatim — the live results are recorded in this header rather
# than by editing them. Where they can be compared they undercount: "nexthire"
# is annotated ~2150 and answered with 2,343, and the largest board on the
# platform, "american-logistics-authority" at 2,760 postings, carries no
# annotation at all.
#
# dead (HTTP 302, none of them registered):
#   a-p-group-ltd academy acmecorp aninebing arangodb avail balanced bendy
#   bmi cadalys casa centrifuge ceribell checkr circles citpeak descope
#   destination-knot dfo dkm earth-hub fbs finlay gomining google granica
#   gruntwork guardio hex investin-education leverage manulife matin maxwell
#   mayar-capital mongoose podean promise que rds recrue rivo rome-tools-inc
#   saw scentbird spectrumhealth sullivan summit tensorops terra topo unmade
#   utn
# ============================================================================
# Breezy HR company subdomains to poll (one per line, # = comment).
# The subdomain is the path segment in a company's careers URL, e.g.
#   https://matroid.breezy.hr  -> matroid
# Polled by download/fetch_breezy.py via the public board JSON + per-position
# JSON-LD detail (the board JSON lacks descriptions; the JobPosting JSON-LD on
# each position page carries the full HTML body).
#
# Harvested via site-scoped web search of *.breezy.hr URLs, then VERIFIED live
# against /json (kept only count>0, 2026-06-02; ~97 active postings across these
# 9). Sorted by volume at probe time.
# To grow: harvest more slugs, re-run the probe, append the live ones.
vetsez
atp-flight-school
mind-computing
matroid
continued
revgen
dozuki
kiddiekredit
westlight-ai
# --- added 2026-06-09: bulk keyless tenant-discovery pass (live-verified) ---
nexthire  # Nexthire (~2150 active)
vianai-systems  # Vianai Systems (~4 active)
bexorg  # Bexorg (~3 active)
committee-for-children  # Committee for Children (~3 active)
fairsquare  # FairSquare (~3 active)
reincubate  # Reincubate (~3 active)
superdispatch  # Super Dispatch (~3 active)
gamebreaking-studios-inc  # Gamebreaking Studios (~2 active)
manypixels  # ManyPixels (~2 active)
resultstack  # ResultStack (~2 active)
urbana  # Urbana (~2 active)
anka  # Anka (~1 active)
arrived  # Arrived (~1 active)
askable  # Askable (~1 active)
bidvestbank  # Bidvest Bank (~1 active)
groupsolver  # GroupSolver (~1 active)
ladder  # Ladder (~1 active)
qualfio  # Qualifio (~1 active)
rentengine  # RentEngine (~1 active)
resultslab  # ResultsLab (~1 active)
resupply  # Resupply (~1 active)
salesflow  # Salesflow (~1 active)
teneo-education  # Teneo Education (~1 active)
triocompany  # TrioComb (~1 active)
wevideo  # WeVideo (~1 active)
wurk  # Wurk (~1 active)
# --- discovered via apply-URL harvest, merged 2026-06-30 (discovery/merge.py) ---
focus-group-panel  # ? (300 live jobs; ~399 in our index) [discovered apply-url]
kimmel-associates  # ? (375 live jobs; ~346 in our index) [discovered apply-url]
national-assemblers-inc  # ? (240 live jobs; ~264 in our index) [discovered apply-url]
kmg-prestige  # ? (175 live jobs; ~231 in our index) [discovered apply-url]
reiss  # ? (198 live jobs; ~192 in our index) [discovered apply-url]
udem  # ? (91 live jobs; ~117 in our index) [discovered apply-url]
brandmomentum  # ? (87 live jobs; ~111 in our index) [discovered apply-url]
gastro-health  # ? (166 live jobs; ~110 in our index) [discovered apply-url]
salmonjobs  # ? (269 live jobs; ~107 in our index) [discovered apply-url]
turning-point-usa  # ? (43 live jobs; ~106 in our index) [discovered apply-url]
kare  # ? (423 live jobs; ~103 in our index) [discovered apply-url]
north-wind-group  # ? (64 live jobs; ~80 in our index) [discovered apply-url]
j-rose-enterprises-llc  # ? (81 live jobs; ~76 in our index) [discovered apply-url]
recruiting  # ? (223 live jobs; ~75 in our index) [discovered apply-url]
german-american-chambers-of-commerce  # ? (32 live jobs; ~72 in our index) [discovered apply-url]
gen-tech  # ? (159 live jobs; ~71 in our index) [discovered apply-url]
velomedi  # ? (70 live jobs; ~71 in our index) [discovered apply-url]
small-potato-trucking  # ? (75 live jobs; ~70 in our index) [discovered apply-url]
surrey-choices  # ? (31 live jobs; ~63 in our index) [discovered apply-url]
ramptalentjobs  # ? (1 live jobs; ~59 in our index) [discovered apply-url]
social-discovery-ventures  # ? (57 live jobs; ~59 in our index) [discovered apply-url]
lovisa-llc  # ? (1 live jobs; ~58 in our index) [discovered apply-url]
supercare-health  # ? (46 live jobs; ~58 in our index) [discovered apply-url]
iix-global  # ? (57 live jobs; ~57 in our index) [discovered apply-url]
the-pros-weddings  # ? (53 live jobs; ~55 in our index) [discovered apply-url]
early-learning-company  # ? (49 live jobs; ~51 in our index) [discovered apply-url]
helpware-inc  # ? (31 live jobs; ~51 in our index) [discovered apply-url]
incubeta-global  # ? (36 live jobs; ~51 in our index) [discovered apply-url]
logan-a-c-heat-services-b29ac6f9712d  # ? (52 live jobs; ~51 in our index) [discovered apply-url]
cesar  # ? (10 live jobs; ~49 in our index) [discovered apply-url]
vanguard-ip  # ? (300 live jobs; ~46 in our index) [discovered apply-url]
blue-projects  # ? (31 live jobs; ~44 in our index) [discovered apply-url]
af  # ? (13 live jobs; ~43 in our index) [discovered apply-url]
cove  # ? (27 live jobs; ~41 in our index) [discovered apply-url]
marex  # ? (115 live jobs; ~40 in our index) [discovered apply-url]
chess-wizards  # ? (103 live jobs; ~39 in our index) [discovered apply-url]
zifty  # ? (79 live jobs; ~37 in our index) [discovered apply-url]
advantia-health  # ? (25 live jobs; ~36 in our index) [discovered apply-url]
kredivo-group  # ? (80 live jobs; ~35 in our index) [discovered apply-url]
tpaction  # ? (352 live jobs; ~35 in our index) [discovered apply-url]
upsa  # ? (22 live jobs; ~35 in our index) [discovered apply-url]
ensemble-performing-arts  # ? (183 live jobs; ~34 in our index) [discovered apply-url]
adnet-accountnet-inc  # ? (13 live jobs; ~33 in our index) [discovered apply-url]
thrasher  # ? (24 live jobs; ~33 in our index) [discovered apply-url]
fluxit  # ? (32 live jobs; ~32 in our index) [discovered apply-url]
international-automotive-components  # ? (45 live jobs; ~31 in our index) [discovered apply-url]
netsync-network-solutions  # ? (24 live jobs; ~31 in our index) [discovered apply-url]
lufco  # ? (20 live jobs; ~30 in our index) [discovered apply-url]
mukuru  # ? (20 live jobs; ~30 in our index) [discovered apply-url]
careers-hankooktire  # ? (21 live jobs; ~29 in our index) [discovered apply-url]
meron-financial-agency  # ? (49 live jobs; ~29 in our index) [discovered apply-url]
turnerstaffing  # ? (1 live jobs; ~28 in our index) [discovered apply-url]
activate-group-limited  # ? (37 live jobs; ~27 in our index) [discovered apply-url]
aviation-technology-associates-llc  # ? (27 live jobs; ~27 in our index) [discovered apply-url]
ismira  # ? (398 live jobs; ~27 in our index) [discovered apply-url]
marshall-dennehey  # ? (95 live jobs; ~27 in our index) [discovered apply-url]
yiyienglish  # ? (104 live jobs; ~27 in our index) [discovered apply-url]
betterme  # ? (20 live jobs; ~26 in our index) [discovered apply-url]
inteldot  # ? (34 live jobs; ~26 in our index) [discovered apply-url]
onebridge  # ? (32 live jobs; ~26 in our index) [discovered apply-url]
strategic-systems-international  # ? (12 live jobs; ~26 in our index) [discovered apply-url]
transact-campus  # ? (29 live jobs; ~26 in our index) [discovered apply-url]
compass-datacenters  # ? (14 live jobs; ~25 in our index) [discovered apply-url]
jway-group  # ? (31 live jobs; ~25 in our index) [discovered apply-url]
heritage-roofing-and-construction  # ? (24 live jobs; ~24 in our index) [discovered apply-url]
jdee-transport-services  # ? (30 live jobs; ~24 in our index) [discovered apply-url]
prodeo-academy  # ? (12 live jobs; ~24 in our index) [discovered apply-url]
solugen  # ? (5 live jobs; ~24 in our index) [discovered apply-url]
be-caring-ltd  # ? (15 live jobs; ~23 in our index) [discovered apply-url]
bitdeer  # ? (90 live jobs; ~23 in our index) [discovered apply-url]
community-dental-partners  # ? (118 live jobs; ~23 in our index) [discovered apply-url]
goodcents  # ? (75 live jobs; ~23 in our index) [discovered apply-url]
highlights-healthcare  # ? (67 live jobs; ~23 in our index) [discovered apply-url]
togetherhood  # ? (70 live jobs; ~23 in our index) [discovered apply-url]
ceresti-health  # ? (15 live jobs; ~22 in our index) [discovered apply-url]
faac-group  # ? (49 live jobs; ~22 in our index) [discovered apply-url]
oando  # ? (2 live jobs; ~22 in our index) [discovered apply-url]
vsa  # ? (15 live jobs; ~22 in our index) [discovered apply-url]
agbo  # ? (30 live jobs; ~21 in our index) [discovered apply-url]
betclic-group  # ? (58 live jobs; ~21 in our index) [discovered apply-url]
children-s-dental-funzone  # ? (56 live jobs; ~21 in our index) [discovered apply-url]
clean-air-task-force  # ? (4 live jobs; ~21 in our index) [discovered apply-url]
fx-digital  # ? (1 live jobs; ~21 in our index) [discovered apply-url]
learn-corporation  # ? (70 live jobs; ~21 in our index) [discovered apply-url]
manabie  # ? (17 live jobs; ~21 in our index) [discovered apply-url]
mindoula-health-inc  # ? (22 live jobs; ~21 in our index) [discovered apply-url]
mtm-llc  # ? (198 live jobs; ~21 in our index) [discovered apply-url]
simera-sense  # ? (8 live jobs; ~21 in our index) [discovered apply-url]
wongnai-media-co-ltd  # ? (87 live jobs; ~21 in our index) [discovered apply-url]
alphanumeric-systems  # ? (12 live jobs; ~20 in our index) [discovered apply-url]
amazingtalker  # ? (8 live jobs; ~20 in our index) [discovered apply-url]
coc-consulting  # ? (1 live jobs; ~20 in our index) [discovered apply-url]
doodle-labs-llc  # ? (17 live jobs; ~20 in our index) [discovered apply-url]
fair-trade-outsourcing  # ? (14 live jobs; ~20 in our index) [discovered apply-url]
gaggle  # ? (5 live jobs; ~20 in our index) [discovered apply-url]
infra-pipe-solutions  # ? (14 live jobs; ~20 in our index) [discovered apply-url]
natures-herbs-and-wellness  # ? (13 live jobs; ~20 in our index) [discovered apply-url]
new-incentives  # ? (16 live jobs; ~20 in our index) [discovered apply-url]
ninjaholdings  # ? (7 live jobs; ~20 in our index) [discovered apply-url]
adoc-tm  # ? (29 live jobs; ~19 in our index) [discovered apply-url]
helping-hand-nurse-llc  # ? (9 live jobs; ~19 in our index) [discovered apply-url]
lulalend  # ? (12 live jobs; ~19 in our index) [discovered apply-url]
nursing-float-health  # ? (25 live jobs; ~19 in our index) [discovered apply-url]
freeeup  # ? (31 live jobs; ~18 in our index) [discovered apply-url]
lestars-management-consultancy-l-l-c  # ? (41 live jobs; ~18 in our index) [discovered apply-url]
otto-engineering-inc  # ? (19 live jobs; ~18 in our index) [discovered apply-url]
talentmovers  # ? (76 live jobs; ~18 in our index) [discovered apply-url]
advanced-dri  # ? (26 live jobs; ~17 in our index) [discovered apply-url]
aeroseal  # ? (9 live jobs; ~17 in our index) [discovered apply-url]
atlas-technica  # ? (74 live jobs; ~17 in our index) [discovered apply-url]
commercial-cleaning-services  # ? (14 live jobs; ~17 in our index) [discovered apply-url]
netsea-technologies  # ? (12 live jobs; ~17 in our index) [discovered apply-url]
partner-retail-services  # ? (6 live jobs; ~17 in our index) [discovered apply-url]
pizza-luce  # ? (6 live jobs; ~17 in our index) [discovered apply-url]
rhynocare  # ? (14 live jobs; ~17 in our index) [discovered apply-url]
rightmove-health  # ? (8 live jobs; ~17 in our index) [discovered apply-url]
therapy-associates  # ? (15 live jobs; ~17 in our index) [discovered apply-url]
barnhart-crane-rigging  # ? (79 live jobs; ~16 in our index) [discovered apply-url]
beex  # ? (29 live jobs; ~16 in our index) [discovered apply-url]
boll-branch  # ? (37 live jobs; ~16 in our index) [discovered apply-url]
church-of-the-highlands  # ? (16 live jobs; ~16 in our index) [discovered apply-url]
compose-ly  # ? (16 live jobs; ~16 in our index) [discovered apply-url]
datamaxis  # ? (22 live jobs; ~16 in our index) [discovered apply-url]
independence-excavating  # ? (52 live jobs; ~16 in our index) [discovered apply-url]
jobs-the-long-drink-company  # ? (17 live jobs; ~16 in our index) [discovered apply-url]
reel-father-s-rights  # ? (13 live jobs; ~16 in our index) [discovered apply-url]
roc-ventures  # ? (15 live jobs; ~16 in our index) [discovered apply-url]
telus-agriculture  # ? (17 live jobs; ~16 in our index) [discovered apply-url]
your-money-line  # ? (5 live jobs; ~16 in our index) [discovered apply-url]
beech-valley-solutions  # ? (18 live jobs; ~15 in our index) [discovered apply-url]
carmen-schools-of-science-technology  # ? (23 live jobs; ~15 in our index) [discovered apply-url]
home-genius-exteriors  # ? (124 live jobs; ~15 in our index) [discovered apply-url]
kaipod-learning  # ? (6 live jobs; ~15 in our index) [discovered apply-url]
rockcruit  # ? (22 live jobs; ~15 in our index) [discovered apply-url]
wmc  # ? (4 live jobs; ~15 in our index) [discovered apply-url]
zetier  # ? (20 live jobs; ~15 in our index) [discovered apply-url]
arch-systems  # ? (2 live jobs; ~14 in our index) [discovered apply-url]
blue-sky-hospitality-solutions  # ? (270 live jobs; ~14 in our index) [discovered apply-url]
commonhouse  # ? (1 live jobs; ~14 in our index) [discovered apply-url]
divadance  # ? (79 live jobs; ~14 in our index) [discovered apply-url]
empyrean-hospice  # ? (9 live jobs; ~14 in our index) [discovered apply-url]
enapter-gmbh  # ? (2 live jobs; ~14 in our index) [discovered apply-url]
herotel-5f74feffb7e1  # ? (29 live jobs; ~14 in our index) [discovered apply-url]
mktg  # ? (203 live jobs; ~14 in our index) [discovered apply-url]
psyphycare-7d99d547f19b  # ? (84 live jobs; ~14 in our index) [discovered apply-url]
sense-engineering  # ? (16 live jobs; ~14 in our index) [discovered apply-url]
talent-acquisition-concepts  # ? (28 live jobs; ~14 in our index) [discovered apply-url]
vert-environmental  # ? (14 live jobs; ~14 in our index) [discovered apply-url]
village-car-company  # ? (55 live jobs; ~14 in our index) [discovered apply-url]
zinier  # ? (38 live jobs; ~14 in our index) [discovered apply-url]
big-fat-smile-group-ltd  # ? (42 live jobs; ~13 in our index) [discovered apply-url]
boldare  # ? (19 live jobs; ~13 in our index) [discovered apply-url]
bristow-and-sutor-group  # ? (9 live jobs; ~13 in our index) [discovered apply-url]
cogentlabs  # ? (9 live jobs; ~13 in our index) [discovered apply-url]
columbia-greene-community-college  # ? (13 live jobs; ~13 in our index) [discovered apply-url]
digilab-solutions  # ? (8 live jobs; ~13 in our index) [discovered apply-url]
gaycenter  # ? (3 live jobs; ~13 in our index) [discovered apply-url]
ino-ca  # ? (9 live jobs; ~13 in our index) [discovered apply-url]
my-burger  # ? (13 live jobs; ~13 in our index) [discovered apply-url]
playstudios-asia  # ? (7 live jobs; ~13 in our index) [discovered apply-url]
reach-out-and-read  # ? (1 live jobs; ~13 in our index) [discovered apply-url]
serv-recruitment-agency  # ? (28 live jobs; ~13 in our index) [discovered apply-url]
smart-city-locating  # ? (6 live jobs; ~13 in our index) [discovered apply-url]
25madison-llc  # ? (5 live jobs; ~12 in our index) [discovered apply-url]
artifex-interior-systems-limited  # ? (16 live jobs; ~12 in our index) [discovered apply-url]
athletes-first  # ? (8 live jobs; ~12 in our index) [discovered apply-url]
codebase  # ? (8 live jobs; ~12 in our index) [discovered apply-url]
dubizzlelabs  # ? (21 live jobs; ~12 in our index) [discovered apply-url]
excellent-recruitment  # ? (47 live jobs; ~12 in our index) [discovered apply-url]
exf  # ? (21 live jobs; ~12 in our index) [discovered apply-url]
heartland-womens-health  # ? (10 live jobs; ~12 in our index) [discovered apply-url]
insource-services-group  # ? (1 live jobs; ~12 in our index) [discovered apply-url]
jmi-reports  # ? (44 live jobs; ~12 in our index) [discovered apply-url]
location3-media  # ? (4 live jobs; ~12 in our index) [discovered apply-url]
ltg  # ? (12 live jobs; ~12 in our index) [discovered apply-url]
meridian-university  # ? (5 live jobs; ~12 in our index) [discovered apply-url]
mk-think  # ? (5 live jobs; ~12 in our index) [discovered apply-url]
paynovate  # ? (12 live jobs; ~12 in our index) [discovered apply-url]
pleasant-valley-corporation  # ? (17 live jobs; ~12 in our index) [discovered apply-url]
property-meld  # ? (3 live jobs; ~12 in our index) [discovered apply-url]
rootstock-software  # ? (5 live jobs; ~12 in our index) [discovered apply-url]
salt-home-services  # ? (14 live jobs; ~12 in our index) [discovered apply-url]
strata-g-llc  # ? (30 live jobs; ~12 in our index) [discovered apply-url]
sva  # ? (4 live jobs; ~12 in our index) [discovered apply-url]
terzo-enterprises  # ? (38 live jobs; ~12 in our index) [discovered apply-url]
westairgroupofcompanies  # ? (11 live jobs; ~12 in our index) [discovered apply-url]
ancient-crunch  # ? (10 live jobs; ~11 in our index) [discovered apply-url]
atlasprimary  # ? (5 live jobs; ~11 in our index) [discovered apply-url]
behavior-treatment-analysis  # ? (11 live jobs; ~11 in our index) [discovered apply-url]
bounce-therapy  # ? (9 live jobs; ~11 in our index) [discovered apply-url]
chip-cookies  # ? (1 live jobs; ~11 in our index) [discovered apply-url]
deep-end-talent-strategies  # ? (11 live jobs; ~11 in our index) [discovered apply-url]
dolly-s-life-of-many-colors-museum  # ? (4 live jobs; ~11 in our index) [discovered apply-url]
doorstead  # ? (72 live jobs; ~11 in our index) [discovered apply-url]
gecko  # ? (25 live jobs; ~11 in our index) [discovered apply-url]
gsmgroup-africa  # ? (5 live jobs; ~11 in our index) [discovered apply-url]
hammerjack-pty-ltd  # ? (48 live jobs; ~11 in our index) [discovered apply-url]
homebuys-inc  # ? (14 live jobs; ~11 in our index) [discovered apply-url]
inallmedia-llc  # ? (41 live jobs; ~11 in our index) [discovered apply-url]
lumio-dental-practice-locations  # ? (64 live jobs; ~11 in our index) [discovered apply-url]
o-mally-management-group  # ? (24 live jobs; ~11 in our index) [discovered apply-url]
premier-health-group  # ? (6 live jobs; ~11 in our index) [discovered apply-url]
proexe-eu  # ? (2 live jobs; ~11 in our index) [discovered apply-url]
reveleer  # ? (7 live jobs; ~11 in our index) [discovered apply-url]
testbox  # ? (1 live jobs; ~11 in our index) [discovered apply-url]
the-san-francisco-standard  # ? (10 live jobs; ~11 in our index) [discovered apply-url]
travellab  # ? (9 live jobs; ~11 in our index) [discovered apply-url]
uncle-mike-s  # ? (17 live jobs; ~11 in our index) [discovered apply-url]
2ulaundry  # ? (4 live jobs; ~10 in our index) [discovered apply-url]
bad-marketing  # ? (7 live jobs; ~10 in our index) [discovered apply-url]
cardahealth  # ? (20 live jobs; ~10 in our index) [discovered apply-url]
cloudcommerce  # ? (30 live jobs; ~10 in our index) [discovered apply-url]
cluster-1-sa  # ? (10 live jobs; ~10 in our index) [discovered apply-url]
crodu  # ? (1 live jobs; ~10 in our index) [discovered apply-url]
democracy-summer  # ? (1 live jobs; ~10 in our index) [discovered apply-url]
everstar  # ? (285 live jobs; ~10 in our index) [discovered apply-url]
goodplanet-vzw  # ? (7 live jobs; ~10 in our index) [discovered apply-url]
ic-automation  # ? (9 live jobs; ~10 in our index) [discovered apply-url]
park-west-gallery  # ? (5 live jobs; ~10 in our index) [discovered apply-url]
sdv-construction-inc  # ? (6 live jobs; ~10 in our index) [discovered apply-url]
the-dyrt  # ? (1 live jobs; ~10 in our index) [discovered apply-url]
the-henry-ford  # ? (12 live jobs; ~10 in our index) [discovered apply-url]
thoroughbred-express  # ? (49 live jobs; ~10 in our index) [discovered apply-url]
