# ============================================================================
# CANDIDATES, NOT SOURCES. Nothing in this file is crawled.
#
# These 1,037 Teamtailor career-site subdomains were recovered by a research
# pass in a container with no outbound access to job boards, so not one of them
# was probed by this project. docs/adding-a-source.md is explicit that a slug
# nobody has verified must not be registered, and at this project's fan-out a
# dead tenant is not free: it burns a request every crawl, reports as a failing
# source, and enough of them together trip the Source Health workflow's
# 35%-failure alarm, which is the signal that is supposed to mean a real
# platform broke.
#
# 34 slugs from this file's hand-curated head are registered in
# internal/services/teamtailor.go as TeamtailorCompanies. The rest are staged
# here until a CI job — the only place in this project with real network access
# — can probe them. The sections merged by "discovery/merge.py" carry "?" or an
# apply-URL guess where the employer name should be; none of those is
# registered, and they need more scrutiny than the rest, not less.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.teamtailor.com/jobs.json answers 200 with a JSON object
# carrying an "items" array of length above zero. A career site that has been
# closed still answers on the apex host, so a status-code check would promote
# empty boards.
#
# The subdomain is used verbatim: it may carry a region label ("foothill.na") or
# an account-id suffix ("cameramatics-1639649453"), and both are part of the
# host.
#
# The verification claims and posting counts below are the upstream curator's,
# dated as annotated. They are recorded as provenance, not endorsed.
# ============================================================================
#
# Teamtailor career-site subdomains to poll (one per line, # = comment).
# The subdomain is the label in a company's career URL, e.g.
#   https://normative.teamtailor.com  -> normative
# It MAY carry a region label (foothill.na) or an account-id suffix
# (cameramatics-1639649453); use the full label verbatim -- it is the
# {label}.teamtailor.com host AND part of the posting id (apply-URL recovery).
# Polled by download/fetch_teamtailor.py via the public /jobs.json JSON Feed
# (no auth); the feed carries the full HTML description (no detail fetch needed).
#
# Harvested via site-scoped web search of *.teamtailor.com job URLs, then
# VERIFIED live against /jobs.json (kept only items>0, 2026-06-09).
andritzdigitalfactory
anyfin
cameramatics-1639649453
combine
foothill.na
funnel
instabee
iqm
mintos
mmd
normative
oneflow
remarkable
technicalequipmentsales
tibber
valsea
virtasant
# --- added 2026-06-09: bulk keyless tenant-discovery pass (live-verified) ---
mwm  # MWM (~7 active)
landbot  # Landbot (Barcelona), ES, ~9 active
paack  # Paack, ES, ~3 active
proapro  # Pro a Pro Espana, ES, ~3 active
ravenpack  # RavenPack (Marbella/Madrid), ES, ~4 active
seedtag  # Seedtag, ES, ~11 active
ucademy  # Ucademy, ES, ~69 active
motoabbigliamento  # Motoabbigliamento, IT, ~4 active
negrieassociati  # Negri & Associati, IT, ~40 active
roccofortehotelsitaly  # Rocco Forte Hotels Italy, IT, ~31 active
tailorfox  # Tailor&Fox Srl, IT, ~100 active
# --- discovered via apply-URL harvest, merged 2026-06-30 (discovery/merge.py) ---
career  # ? (14 live jobs; ~532 in our index) [discovered apply-url]
vardaga  # ? (100 live jobs; ~323 in our index) [discovered apply-url]
cartrackasiacareerpage  # ? (100 live jobs; ~233 in our index) [discovered apply-url]
veidekke  # ? (6 live jobs; ~166 in our index) [discovered apply-url]
lumenradio  # ? (2 live jobs; ~153 in our index) [discovered apply-url]
everymatrix  # ? (55 live jobs; ~99 in our index) [discovered apply-url]
berattarministeriet  # ? (1 live jobs; ~92 in our index) [discovered apply-url]
vaccindirektisverigeab  # ? (18 live jobs; ~82 in our index) [discovered apply-url]
sweatcoin  # ? (2 live jobs; ~69 in our index) [discovered apply-url]
chip  # ? (9 live jobs; ~65 in our index) [discovered apply-url]
stretch  # ? (17 live jobs; ~65 in our index) [discovered apply-url]
polestar  # ? (30 live jobs; ~63 in our index) [discovered apply-url]
cedergrenskaab  # ? (22 live jobs; ~62 in our index) [discovered apply-url]
astridmiyu  # ? (32 live jobs; ~60 in our index) [discovered apply-url]
bigbite  # ? (63 live jobs; ~60 in our index) [discovered apply-url]
nimblrab  # ? (2 live jobs; ~60 in our index) [discovered apply-url]
swissas  # ? (7 live jobs; ~60 in our index) [discovered apply-url]
astekswedenab  # ? (40 live jobs; ~59 in our index) [discovered apply-url]
blacknova-black-nova-portfolio  # ? (21 live jobs; ~59 in our index) [discovered apply-url]
avosano  # ? (13 live jobs; ~57 in our index) [discovered apply-url]
ssa  # ? (100 live jobs; ~56 in our index) [discovered apply-url]
percentserviciosinmobiliarios-1738162404  # ? (17 live jobs; ~55 in our index) [discovered apply-url]
nipromec  # ? (1 live jobs; ~51 in our index) [discovered apply-url]
forenadecare  # ? (100 live jobs; ~50 in our index) [discovered apply-url]
seasonshrmanagementoy  # ? (5 live jobs; ~47 in our index) [discovered apply-url]
gransoslott  # ? (5 live jobs; ~46 in our index) [discovered apply-url]
nofence  # ? (6 live jobs; ~46 in our index) [discovered apply-url]
attendosverige  # ? (87 live jobs; ~45 in our index) [discovered apply-url]
bearingpointgmbh  # ? (13 live jobs; ~45 in our index) [discovered apply-url]
newbestsrl-1746516054  # ? (2 live jobs; ~45 in our index) [discovered apply-url]
cirkusvenues  # ? (5 live jobs; ~44 in our index) [discovered apply-url]
clydemunrodentalgroup  # ? (40 live jobs; ~44 in our index) [discovered apply-url]
prevas  # ? (51 live jobs; ~44 in our index) [discovered apply-url]
cares  # ? (18 live jobs; ~43 in our index) [discovered apply-url]
unikalss  # ? (29 live jobs; ~43 in our index) [discovered apply-url]
edzagroup  # ? (25 live jobs; ~42 in our index) [discovered apply-url]
frontrowgroup  # ? (56 live jobs; ~42 in our index) [discovered apply-url]
polypeptidestrasbourg  # ? (14 live jobs; ~41 in our index) [discovered apply-url]
betterbusiness  # ? (8 live jobs; ~40 in our index) [discovered apply-url]
signicat  # ? (9 live jobs; ~40 in our index) [discovered apply-url]
gardaalarm  # ? (1 live jobs; ~39 in our index) [discovered apply-url]
airtificial  # ? (22 live jobs; ~38 in our index) [discovered apply-url]
connectassistance.na  # ? (15 live jobs; ~38 in our index) [discovered apply-url]
kernkraftwerkleibstadtag  # ? (4 live jobs; ~37 in our index) [discovered apply-url]
kpmgglobalservices  # ? (19 live jobs; ~37 in our index) [discovered apply-url]
aebr  # ? (16 live jobs; ~36 in our index) [discovered apply-url]
eyesandmoregmbh-1681220218  # ? (100 live jobs; ~36 in our index) [discovered apply-url]
talentin  # ? (23 live jobs; ~36 in our index) [discovered apply-url]
sciencemeup  # ? (13 live jobs; ~35 in our index) [discovered apply-url]
bambuser  # ? (6 live jobs; ~34 in our index) [discovered apply-url]
2lcollection  # ? (26 live jobs; ~33 in our index) [discovered apply-url]
atticusadvisorysolutions  # ? (32 live jobs; ~33 in our index) [discovered apply-url]
providentpoland  # ? (85 live jobs; ~33 in our index) [discovered apply-url]
atecna  # ? (14 live jobs; ~32 in our index) [discovered apply-url]
mandsopticians  # ? (26 live jobs; ~32 in our index) [discovered apply-url]
minjonoy  # ? (3 live jobs; ~32 in our index) [discovered apply-url]
thecrownestate  # ? (9 live jobs; ~32 in our index) [discovered apply-url]
trevorfrances  # ? (12 live jobs; ~32 in our index) [discovered apply-url]
acorngroup  # ? (8 live jobs; ~31 in our index) [discovered apply-url]
cabaia  # ? (9 live jobs; ~31 in our index) [discovered apply-url]
clickboat  # ? (6 live jobs; ~31 in our index) [discovered apply-url]
curifylabs  # ? (5 live jobs; ~31 in our index) [discovered apply-url]
gvv  # ? (11 live jobs; ~31 in our index) [discovered apply-url]
humac  # ? (7 live jobs; ~31 in our index) [discovered apply-url]
bgla.na  # ? (24 live jobs; ~31 in our index) [discovered apply-url]
tjintokk  # ? (4 live jobs; ~31 in our index) [discovered apply-url]
antaretechnology-1748341798  # ? (5 live jobs; ~30 in our index) [discovered apply-url]
delair  # ? (17 live jobs; ~30 in our index) [discovered apply-url]
engagedhr  # ? (17 live jobs; ~30 in our index) [discovered apply-url]
mendoai-1730204279  # ? (14 live jobs; ~30 in our index) [discovered apply-url]
tiptapp  # ? (2 live jobs; ~30 in our index) [discovered apply-url]
madkaffe  # ? (7 live jobs; ~29 in our index) [discovered apply-url]
encuadrado.na  # ? (2 live jobs; ~29 in our index) [discovered apply-url]
qflow  # ? (48 live jobs; ~29 in our index) [discovered apply-url]
spiko  # ? (21 live jobs; ~29 in our index) [discovered apply-url]
umsskeldarab  # ? (13 live jobs; ~29 in our index) [discovered apply-url]
cdpworldwide  # ? (13 live jobs; ~28 in our index) [discovered apply-url]
jvalle  # ? (81 live jobs; ~28 in our index) [discovered apply-url]
keithandrews  # ? (11 live jobs; ~28 in our index) [discovered apply-url]
loft  # ? (75 live jobs; ~28 in our index) [discovered apply-url]
lrgcareers  # ? (96 live jobs; ~28 in our index) [discovered apply-url]
marsstrandshavshotell  # ? (7 live jobs; ~28 in our index) [discovered apply-url]
miogruppen  # ? (100 live jobs; ~28 in our index) [discovered apply-url]
cambio  # ? (4 live jobs; ~27 in our index) [discovered apply-url]
foveaassocies  # ? (19 live jobs; ~27 in our index) [discovered apply-url]
norrskenlauncher  # ? (3 live jobs; ~27 in our index) [discovered apply-url]
octannklinikker  # ? (3 live jobs; ~27 in our index) [discovered apply-url]
salesvalley  # ? (41 live jobs; ~27 in our index) [discovered apply-url]
surplusmap  # ? (4 live jobs; ~27 in our index) [discovered apply-url]
thebalmoral  # ? (15 live jobs; ~27 in our index) [discovered apply-url]
ungapped  # ? (1 live jobs; ~27 in our index) [discovered apply-url]
utec  # ? (62 live jobs; ~27 in our index) [discovered apply-url]
frenda  # ? (2 live jobs; ~26 in our index) [discovered apply-url]
hotelbowmannparis  # ? (4 live jobs; ~26 in our index) [discovered apply-url]
naffco  # ? (96 live jobs; ~26 in our index) [discovered apply-url]
polypeptideus  # ? (16 live jobs; ~26 in our index) [discovered apply-url]
qualacompany  # ? (100 live jobs; ~26 in our index) [discovered apply-url]
gigancicodinggiants-1732891096  # ? (8 live jobs; ~25 in our index) [discovered apply-url]
gostrong  # ? (2 live jobs; ~25 in our index) [discovered apply-url]
haegercarlsson  # ? (15 live jobs; ~25 in our index) [discovered apply-url]
kompisrestauranter  # ? (4 live jobs; ~25 in our index) [discovered apply-url]
lestra  # ? (4 live jobs; ~25 in our index) [discovered apply-url]
loomisnorge  # ? (1 live jobs; ~25 in our index) [discovered apply-url]
tomorrowstalent.na  # ? (17 live jobs; ~25 in our index) [discovered apply-url]
porkkanajakeppioy  # ? (13 live jobs; ~25 in our index) [discovered apply-url]
xrbolagenab  # ? (2 live jobs; ~25 in our index) [discovered apply-url]
bankdata  # ? (20 live jobs; ~24 in our index) [discovered apply-url]
electroheatswedenab-1645023271  # ? (2 live jobs; ~24 in our index) [discovered apply-url]
horse  # ? (72 live jobs; ~24 in our index) [discovered apply-url]
latelierentrecotevolaille  # ? (1 live jobs; ~24 in our index) [discovered apply-url]
skippo  # ? (2 live jobs; ~24 in our index) [discovered apply-url]
asklocala-1671530238  # ? (12 live jobs; ~23 in our index) [discovered apply-url]
bankgirotab  # ? (6 live jobs; ~23 in our index) [discovered apply-url]
briochesfonteneau  # ? (10 live jobs; ~23 in our index) [discovered apply-url]
humanisecollective  # ? (9 live jobs; ~23 in our index) [discovered apply-url]
mecapack  # ? (8 live jobs; ~23 in our index) [discovered apply-url]
pkfsmithcooper  # ? (2 live jobs; ~23 in our index) [discovered apply-url]
polypeptidebelgium  # ? (10 live jobs; ~23 in our index) [discovered apply-url]
rebtel  # ? (10 live jobs; ~23 in our index) [discovered apply-url]
salt  # ? (2 live jobs; ~23 in our index) [discovered apply-url]
veterankraftab  # ? (100 live jobs; ~23 in our index) [discovered apply-url]
cepheo  # ? (14 live jobs; ~22 in our index) [discovered apply-url]
colorifixlimited  # ? (1 live jobs; ~22 in our index) [discovered apply-url]
dotworld  # ? (5 live jobs; ~22 in our index) [discovered apply-url]
ikealithuania  # ? (9 live jobs; ~22 in our index) [discovered apply-url]
ipfdigital  # ? (14 live jobs; ~22 in our index) [discovered apply-url]
multiversecomputing  # ? (23 live jobs; ~22 in our index) [discovered apply-url]
pandox-belgium-careers  # ? (31 live jobs; ~22 in our index) [discovered apply-url]
seriosgroup  # ? (3 live jobs; ~22 in our index) [discovered apply-url]
svenskavetcareers  # ? (22 live jobs; ~22 in our index) [discovered apply-url]
clunetech-fintua  # ? (8 live jobs; ~21 in our index) [discovered apply-url]
hivedhq  # ? (15 live jobs; ~21 in our index) [discovered apply-url]
ikealatvia  # ? (15 live jobs; ~21 in our index) [discovered apply-url]
maslow  # ? (23 live jobs; ~21 in our index) [discovered apply-url]
memira  # ? (15 live jobs; ~21 in our index) [discovered apply-url]
sonatas  # ? (2 live jobs; ~21 in our index) [discovered apply-url]
swanio  # ? (21 live jobs; ~21 in our index) [discovered apply-url]
vipo  # ? (2 live jobs; ~21 in our index) [discovered apply-url]
vismafinland  # ? (4 live jobs; ~21 in our index) [discovered apply-url]
atlantiqueautomatismesincendie  # ? (100 live jobs; ~20 in our index) [discovered apply-url]
cedreo  # ? (1 live jobs; ~20 in our index) [discovered apply-url]
elsa  # ? (4 live jobs; ~20 in our index) [discovered apply-url]
erstadiakoni  # ? (17 live jobs; ~20 in our index) [discovered apply-url]
fluxmarine  # ? (3 live jobs; ~20 in our index) [discovered apply-url]
icakvantumsodermalm  # ? (4 live jobs; ~20 in our index) [discovered apply-url]
mylaboy  # ? (2 live jobs; ~20 in our index) [discovered apply-url]
apiuxtech.na  # ? (24 live jobs; ~20 in our index) [discovered apply-url]
arborealmanagement.na  # ? (25 live jobs; ~20 in our index) [discovered apply-url]
dresdenpartners.na  # ? (44 live jobs; ~20 in our index) [discovered apply-url]
puelchehc.na  # ? (28 live jobs; ~20 in our index) [discovered apply-url]
pinchonationdenmark  # ? (12 live jobs; ~20 in our index) [discovered apply-url]
plissonneau  # ? (27 live jobs; ~20 in our index) [discovered apply-url]
rehabunited  # ? (21 live jobs; ~20 in our index) [discovered apply-url]
sabon  # ? (2 live jobs; ~20 in our index) [discovered apply-url]
stl  # ? (22 live jobs; ~20 in our index) [discovered apply-url]
vismacc  # ? (4 live jobs; ~20 in our index) [discovered apply-url]
yego  # ? (9 live jobs; ~20 in our index) [discovered apply-url]
biscuitinternationalvf  # ? (9 live jobs; ~19 in our index) [discovered apply-url]
convotisiberia  # ? (8 live jobs; ~19 in our index) [discovered apply-url]
eathappygmbh-1734343618  # ? (7 live jobs; ~19 in our index) [discovered apply-url]
expliseat  # ? (23 live jobs; ~19 in our index) [discovered apply-url]
heroldat  # ? (6 live jobs; ~19 in our index) [discovered apply-url]
knaufaquapanel  # ? (7 live jobs; ~19 in our index) [discovered apply-url]
montessori-erlangen  # ? (10 live jobs; ~19 in our index) [discovered apply-url]
neo2consultant  # ? (100 live jobs; ~19 in our index) [discovered apply-url]
omexomsor  # ? (15 live jobs; ~19 in our index) [discovered apply-url]
palta  # ? (19 live jobs; ~19 in our index) [discovered apply-url]
vanmosseluk  # ? (6 live jobs; ~19 in our index) [discovered apply-url]
aimexecutive  # ? (5 live jobs; ~18 in our index) [discovered apply-url]
awaceb  # ? (1 live jobs; ~18 in our index) [discovered apply-url]
bunnynet  # ? (8 live jobs; ~18 in our index) [discovered apply-url]
caparol  # ? (3 live jobs; ~18 in our index) [discovered apply-url]
ecm-crit  # ? (100 live jobs; ~18 in our index) [discovered apply-url]
edukatus  # ? (46 live jobs; ~18 in our index) [discovered apply-url]
euronovategroup  # ? (1 live jobs; ~18 in our index) [discovered apply-url]
leitmotiv  # ? (32 live jobs; ~18 in our index) [discovered apply-url]
nobiaab-hth  # ? (14 live jobs; ~18 in our index) [discovered apply-url]
omnistaff  # ? (18 live jobs; ~18 in our index) [discovered apply-url]
qutwo  # ? (9 live jobs; ~18 in our index) [discovered apply-url]
shotgun  # ? (5 live jobs; ~18 in our index) [discovered apply-url]
soeur-1711354805  # ? (51 live jobs; ~18 in our index) [discovered apply-url]
123pousse  # ? (8 live jobs; ~17 in our index) [discovered apply-url]
aktiviaassistans  # ? (20 live jobs; ~17 in our index) [discovered apply-url]
audencia  # ? (13 live jobs; ~17 in our index) [discovered apply-url]
bashor  # ? (11 live jobs; ~17 in our index) [discovered apply-url]
condeco-1741867353  # ? (2 live jobs; ~17 in our index) [discovered apply-url]
easykind  # ? (2 live jobs; ~17 in our index) [discovered apply-url]
ekidomvf-1740745963  # ? (4 live jobs; ~17 in our index) [discovered apply-url]
houseofcontrol  # ? (1 live jobs; ~17 in our index) [discovered apply-url]
slantis.na  # ? (14 live jobs; ~17 in our index) [discovered apply-url]
pontusfrithiof2021  # ? (5 live jobs; ~17 in our index) [discovered apply-url]
rosenssonsconsultingab  # ? (24 live jobs; ~17 in our index) [discovered apply-url]
vetwise  # ? (9 live jobs; ~17 in our index) [discovered apply-url]
wellers-1664880173  # ? (7 live jobs; ~17 in our index) [discovered apply-url]
73strings  # ? (11 live jobs; ~16 in our index) [discovered apply-url]
arkbokhandel  # ? (4 live jobs; ~16 in our index) [discovered apply-url]
carerecruitmentinternational-1732065404  # ? (1 live jobs; ~16 in our index) [discovered apply-url]
causeaeffet  # ? (10 live jobs; ~16 in our index) [discovered apply-url]
emperor  # ? (15 live jobs; ~16 in our index) [discovered apply-url]
eniro  # ? (9 live jobs; ~16 in our index) [discovered apply-url]
inrekraft  # ? (47 live jobs; ~16 in our index) [discovered apply-url]
mecenat  # ? (2 live jobs; ~16 in our index) [discovered apply-url]
modjo  # ? (4 live jobs; ~16 in our index) [discovered apply-url]
edgeengineering.na  # ? (4 live jobs; ~16 in our index) [discovered apply-url]
gerenciaselecta.na  # ? (23 live jobs; ~16 in our index) [discovered apply-url]
somoscanella.na  # ? (72 live jobs; ~16 in our index) [discovered apply-url]
native  # ? (10 live jobs; ~16 in our index) [discovered apply-url]
pinchonationnorway  # ? (11 live jobs; ~16 in our index) [discovered apply-url]
statsperform  # ? (9 live jobs; ~16 in our index) [discovered apply-url]
tacting  # ? (7 live jobs; ~16 in our index) [discovered apply-url]
terredivignesrl  # ? (1 live jobs; ~16 in our index) [discovered apply-url]
toppansecurity  # ? (24 live jobs; ~16 in our index) [discovered apply-url]
yonder  # ? (5 live jobs; ~16 in our index) [discovered apply-url]
barbri  # ? (1 live jobs; ~15 in our index) [discovered apply-url]
birdlifeinternational  # ? (5 live jobs; ~15 in our index) [discovered apply-url]
bloqit  # ? (13 live jobs; ~15 in our index) [discovered apply-url]
coligoab  # ? (5 live jobs; ~15 in our index) [discovered apply-url]
doconomy  # ? (1 live jobs; ~15 in our index) [discovered apply-url]
eathappygroup  # ? (24 live jobs; ~15 in our index) [discovered apply-url]
estreem  # ? (13 live jobs; ~15 in our index) [discovered apply-url]
folketsthlm  # ? (8 live jobs; ~15 in our index) [discovered apply-url]
grupoubesol-1747670884  # ? (11 live jobs; ~15 in our index) [discovered apply-url]
hanburystrategy  # ? (8 live jobs; ~15 in our index) [discovered apply-url]
heianordnorge  # ? (6 live jobs; ~15 in our index) [discovered apply-url]
hometree-1690194722  # ? (18 live jobs; ~15 in our index) [discovered apply-url]
hooked  # ? (11 live jobs; ~15 in our index) [discovered apply-url]
hulluporo  # ? (16 live jobs; ~15 in our index) [discovered apply-url]
ictech  # ? (17 live jobs; ~15 in our index) [discovered apply-url]
kustom  # ? (1 live jobs; ~15 in our index) [discovered apply-url]
pecom.na  # ? (1 live jobs; ~15 in our index) [discovered apply-url]
rubrik  # ? (3 live jobs; ~15 in our index) [discovered apply-url]
sbab  # ? (7 live jobs; ~15 in our index) [discovered apply-url]
veoneerfr  # ? (9 live jobs; ~15 in our index) [discovered apply-url]
